Rank,Agent,Gen,Gender,Pregnancy,Children,Heterozygous,Homozygous,Size,Life,Stamina,Hunger,Starving
0,Sheep,1,Female,0,0,0,0,25,71108,10043424,20086878,false
1,Sheep,1,Male,0,0,0,0,12,60539,10000000,20000004,false
2,Sheep,1,Female,0,0,0,0,24,59685,10037204,20074436,false
3,Sheep,1,Male,0,0,0,0,20,58270,10000242,20000504,false
4,Sheep,1,Female,0,0,0,0,20,46208,9999989,19999998,false
5,Sheep,1,Male,0,0,0,0,18,42154,10402918,20805852,false
6,Sheep,1,Female,0,0,0,0,20,62156,9825484,19650988,false
7,Sheep,1,Male,0,0,0,0,19,51629,10009716,20019450,false
8,Sheep,1,Female,0,0,0,0,19,59683,9999973,19999964,false
9,Sheep,1,Male,0,0,0,0,20,57221,10005291,20010602,false
10,Sheep,1,Female,0,0,0,0,20,58688,9996946,19993912,false
11,Sheep,1,Male,0,0,0,0,20,42285,10000689,20001398,false
12,Sheep,1,Female,0,0,0,0,20,59897,10378525,20757070,false
13,Sheep,1,Male,0,0,0,0,19,61592,6845400,13690818,false
14,Sheep,1,Female,0,0,0,0,25,44704,9990784,19981598,false
15,Sheep,1,Male,0,0,0,0,20,45422,9990919,19981858,false
16,Sheep,1,Female,0,0,0,0,22,71863,10000000,20000024,false
17,Sheep,1,Male,0,0,0,0,19,60838,10075581,20151180,false
18,Sheep,1,Female,0,0,0,0,18,59686,9724078,19448172,false
19,Sheep,1,Male,0,0,0,0,19,60685,10001001,20002020,false
20,Sheep,1,Female,0,0,0,0,23,55322,10074821,20149668,false
21,Sheep,1,Male,0,0,0,0,25,59672,9530395,19060820,false
22,Sheep,1,Female,0,0,0,0,24,59685,9970397,19940822,false
23,Sheep,1,Male,0,0,0,0,22,59633,6819172,13638368,false
24,Sheep,1,Female,0,0,0,0,19,61234,8732918,17465854,false
25,Sheep,1,Male,0,0,0,0,19,59685,9995403,19990824,false
26,Sheep,1,Female,0,0,0,0,20,59683,9992735,19985490,false
27,Sheep,1,Male,0,0,0,0,19,70869,7455207,14910432,false
28,Sheep,1,Female,0,0,0,0,22,59686,9998435,19996894,false
29,Sheep,1,Male,0,0,0,0,19,60486,9717105,19434228,false
30,Sheep,1,Female,0,0,0,0,27,42548,7135029,14270092,false
31,Sheep,1,Male,0,0,0,0,23,59686,10000000,20000026,false
32,Sheep,1,Female,0,0,0,0,27,59686,10812159,21624352,false
33,Sheep,1,Male,0,0,0,0,19,59682,9201669,18403356,false
34,Sheep,1,Female,0,0,0,0,20,59686,9977079,19954178,false
35,Sheep,1,Male,0,0,0,0,19,59687,11196119,22392256,false
36,Sheep,1,Female,0,0,0,0,19,59694,9061997,18124012,false
37,Sheep,1,Male,0,0,0,0,20,61246,9565465,19130950,false
38,Sheep,1,Female,0,0,0,0,19,59687,10042404,20084826,false
39,Sheep,1,Male,0,0,0,0,19,55330,10032347,20064712,false
40,Sheep,1,Female,0,0,0,0,19,59677,7398089,14796196,false
41,Sheep,1,Male,0,0,0,0,20,59685,10175996,20352012,false
42,Sheep,1,Female,0,0,0,0,19,59685,10002105,20004228,false
43,Sheep,1,Male,0,0,0,0,18,59647,8828875,17657766,false
44,Sheep,1,Female,0,0,0,0,20,80434,10986389,21972914,false
45,Sheep,1,Male,0,0,0,0,19,58733,9202517,18405052,false
46,Sheep,1,Female,0,0,0,0,20,65815,9989975,19979970,false
47,Sheep,1,Male,0,0,0,0,19,59994,7651560,15303138,false
48,Sheep,1,Female,0,0,0,0,18,59262,11052471,22104958,false
49,Sheep,1,Male,0,0,0,0,19,59677,9999949,19999916,false
