Agent,value x,value y,value z
Name,Sheep,Herbivore,13914
Gender,Female,,
Generation,1,,
Sex appeal,728,,
Multiple pregnancy,48.566307,,
Pregnancy,0,,
Children,0,,
Homozygous,0,,
Heterozygous,0,,
Life,46208,46522,
Size,20,20,
Stamina,9999989,9999989,
Sense range,1069,,
Velocity,5.0,,
Position,-1537.5859,770.4916,2504.097
Satiate,true,,
Starving,false,,
Hunger,19999998,,
Leptin,25000022,,
Eating,false,,
Watching,true,,
Tracking,false,,
Alive,true,,
Carrion,false,,
Log sequence,1,,
,,,
,,,
,,,
,,,
,,,
